stage,exp,init,arm,eta,s,train,test,proj,nbad,d_train,t_train
search,titanic_ball,ball_uniform,nrev,3e-05,b2_5,0.799683988764045,0.8058659217877095,0.10847916666666667,0,0.0011850421348314558,0.7607654392626252
search,titanic_ball,ball_uniform,nrev,3e-05,gn1,0.7990695224719101,0.8102304469273743,0.09958333333333333,0,0.000570575842696628,0.4749687515926164
search,titanic_ball,ball_uniform,nrev,3e-05,gn5,0.8000351123595506,0.8062150837988827,0.108875,0,0.0015361657303370677,0.769391131333127
search,titanic_ball,ball_uniform,rev,0.0001,-,0.7984111657303371,0.807437150837989,0.27075,0,,
search,titanic_ball,ball_uniform,nrev,0.0001,u0.25,0.7991573033707865,0.8074371508379887,0.2710416666666667,0,0.0007461376404494235,1.9197173451616723
search,titanic_ball,ball_uniform,nrev,0.0001,u1,0.7984550561797753,0.8058659217877095,0.2751875,0,4.3890449438185875e-05,0.06393818721430265
search,titanic_ball,ball_uniform,nrev,0.0001,u2,0.797533356741573,0.8083100558659219,0.2794583333333333,0,-0.000877808988764061,-0.5358576176928276
search,titanic_ball,ball_uniform,nrev,0.0001,u5,0.7975772471910112,0.8051675977653632,0.28010416666666665,0,-0.0008339185393258612,-0.39235769764309925
search,titanic_ball,ball_uniform,nrev,0.0001,b2_5,0.7984989466292134,0.8067388268156426,0.2796458333333333,0,8.778089887638216e-05,0.06069512172772191
search,titanic_ball,ball_uniform,nrev,0.0001,gn1,0.798630617977528,0.8056913407821229,0.275,0,0.00021945224719099876,0.29294286867094255
search,titanic_ball,ball_uniform,nrev,0.0001,gn5,0.7967872191011236,0.8056913407821229,0.2808333333333333,0,-0.0016239466292135123,-0.729189341518388
search,titanic_ball,ball_uniform,rev,0.0003,-,0.7991573033707865,0.8091829608938548,0.4706458333333333,0,,
search,titanic_ball,ball_uniform,nrev,0.0003,u0.25,0.7988939606741573,0.8100558659217878,0.4710416666666667,0,-0.00026334269662919504,-0.5284688063445535
search,titanic_ball,ball_uniform,nrev,0.0003,u1,0.7991573033707865,0.8084846368715084,0.47270833333333334,0,3.469446951953614e-18,3.760747683760699e-15
search,titanic_ball,ball_uniform,nrev,0.0003,u2,0.7974455758426966,0.8058659217877095,0.4738541666666667,0,-0.0017117275280898805,-1.2215430707323491
search,titanic_ball,ball_uniform,nrev,0.0003,u5,0.7943293539325843,0.8053421787709498,0.48433333333333334,0,-0.004827949438202236,-2.3393838209672437
search,titanic_ball,ball_uniform,nrev,0.0003,b2_5,0.7939782303370787,0.8070879888268156,0.48154166666666665,0,-0.005179073033707859,-2.9434793449853918
search,titanic_ball,ball_uniform,nrev,0.0003,gn1,0.7989817415730337,0.8086592178770949,0.4733541666666667,0,-0.00017556179775280248,-0.1775841038407584
search,titanic_ball,ball_uniform,nrev,0.0003,gn5,0.794285463483146,0.8035963687150838,0.4840833333333333,0,-0.004871839887640436,-2.3218977637945457
search,titanic_lp,boundary,rev,1e-06,-,0.5508251404494382,0.5542946927374302,0.0026875,0,,
search,titanic_lp,boundary,nrev,1e-06,u0.25,0.5508690308988764,0.5532472067039107,0.00278125,0,4.389044943820322e-05,0.022658100762548445
search,titanic_lp,boundary,nrev,1e-06,u1,0.5530635533707865,0.5583100558659218,0.002734375,0,0.002238412921348319,0.28639630875439553
search,titanic_lp,boundary,nrev,1e-06,u2,0.5491134129213482,0.5548184357541899,0.002796875,0,-0.001711727528089891,-0.15606884658095224
search,titanic_lp,boundary,nrev,1e-06,u5,0.5528879915730337,0.5516759776536313,0.003,0,0.002062851123595501,0.16611869181529282
search,titanic_lp,boundary,nrev,1e-06,b2_5,0.5553019662921348,0.553072625698324,0.00303125,0,0.00447682584269663,0.6479990927006443
search,titanic_lp,boundary,nrev,1e-06,gn1,0.5520540730337078,0.5560405027932961,0.002734375,0,0.0012289325842696642,0.17419584912177327
search,titanic_lp,boundary,nrev,1e-06,gn5,0.5584620786516854,0.5621508379888268,0.00303125,0,0.007636938202247182,0.6076711725026246
search,titanic_lp,boundary,rev,3e-06,-,0.6610779494382023,0.6714385474860335,0.001390625,0,,
search,titanic_lp,boundary,nrev,3e-06,u0.25,0.6604634831460674,0.6702164804469274,0.001390625,0,-0.0006144662921348451,-0.18065571313891296
search,titanic_lp,boundary,nrev,3e-06,u1,0.6652475421348314,0.6803421787709496,0.0015,0,0.004169592696629192,0.6836404520366999
search,titanic_lp,boundary,nrev,3e-06,u2,0.6640186095505618,0.6752793296089385,0.001625,0,0.0029406601123595465,0.3336820026079795
search,titanic_lp,boundary,nrev,3e-06,u5,0.6724016853932584,0.6953561452513967,0.001484375,0,0.011323735955056166,1.2564680850090377
search,titanic_lp,boundary,nrev,3e-06,b2_5,0.6670031601123596,0.6812150837988826,0.001375,0,0.005925210674157289,0.7616147738283542
search,titanic_lp,boundary,nrev,3e-06,gn1,0.6651158707865168,0.6778980446927374,0.0015,0,0.004037921348314589,0.6726986876602389
search,titanic_lp,boundary,nrev,3e-06,gn5,0.673806179775281,0.6883729050279329,0.001484375,0,0.012728230337078636,1.5391322168057608
search,titanic_lp,boundary,rev,1e-05,-,0.7658005617977528,0.7767108938547487,0.002796875,0,,
search,titanic_lp,boundary,nrev,1e-05,u0.25,0.7703212780898877,0.7838687150837989,0.00259375,0,0.004520716292134814,1.7286115022895983
search,titanic_lp,boundary,nrev,1e-05,u1,0.7815133426966292,0.7950418994413408,0.003546875,0,0.015712780898876393,2.782634049473923
search,titanic_lp,boundary,nrev,1e-05,u2,0.7875702247191011,0.7978351955307263,0.00384375,0,0.021769662921348302,3.9113950741865127
search,titanic_lp,boundary,nrev,1e-05,u5,0.7887113764044944,0.7969622905027933,0.00703125,0,0.02291081460674155,4.042513180853921
search,titanic_lp,boundary,nrev,1e-05,b2_5,0.7854195926966293,0.7959148044692737,0.0053125,0,0.019619030898876396,3.8217017740104677
search,titanic_lp,boundary,nrev,1e-05,gn1,0.7807233146067416,0.797486033519553,0.003390625,0,0.014922752808988748,2.532613243934365
search,titanic_lp,boundary,nrev,1e-05,gn5,0.7850684691011236,0.7938198324022345,0.008734375,0,0.01926790730337078,3.708591144644072
search,titanic_lp,boundary,rev,3e-05,-,0.8020101825842697,0.8049930167597765,0.0421875,0,,
search,titanic_lp,boundary,nrev,3e-05,u0.25,0.8045119382022472,0.807786312849162,0.04471875,0,0.002501755617977528,2.9427080325560206
search,titanic_lp,boundary,nrev,3e-05,u1,0.801878511235955,0.8065642458100559,0.054328125,0,-0.00013167134831459926,-0.08206148915134948
search,titanic_lp,boundary,nrev,3e-05,u2,0.8024051966292135,0.8076117318435755,0.05725,0,0.000395014044943829,0.25030234468356155
search,titanic_lp,boundary,nrev,3e-05,u5,0.8027124297752808,0.8069134078212291,0.067421875,0,0.0007022471910112446,0.4282895663715448
search,titanic_lp,boundary,nrev,3e-05,b2_5,0.801878511235955,0.8070879888268156,0.0620625,0,-0.00013167134831459926,-0.1281725122589835
search,titanic_lp,boundary,nrev,3e-05,gn1,0.8019224016853932,0.8069134078212291,0.053265625,0,-8.778089887639604e-05,-0.05295432950303214
search,titanic_lp,boundary,nrev,3e-05,gn5,0.802097963483146,0.8060405027932962,0.06909375,0,8.778089887642032e-05,0.05877107279279262
search,titanic_lp,boundary,rev,0.0001,-,0.8036780196629213,0.8055167597765364,0.158359375,0,,
search,titanic_lp,boundary,nrev,0.0001,u0.25,0.8030635533707865,0.8065642458100559,0.160703125,0,-0.0006144662921348243,-0.8752205975075887
search,titanic_lp,boundary,nrev,0.0001,u1,0.8012640449438202,0.8042946927374302,0.1680625,0,-0.002413974719101125,-1.7804198583634419
search,titanic_lp,boundary,nrev,0.0001,u2,0.8006934691011236,0.8055167597765363,0.17078125,0,-0.0029845505617977566,-2.005717019760959
search,titanic_lp,boundary,nrev,0.0001,u5,0.7679073033707864,0.772695530726257,0.3041875,0,-0.03577071629213483,-8.297577247449363
search,titanic_lp,boundary,nrev,0.0001,b2_5,0.7600509129213484,0.7761871508379888,0.297859375,0,-0.043627106741573024,-9.153464908925676
search,titanic_lp,boundary,nrev,0.0001,gn1,0.8006495786516854,0.8048184357541899,0.168109375,0,-0.0030284410112359425,-2.453457621550921
search,titanic_lp,boundary,nrev,0.0001,gn5,0.7424508426966293,0.7569832402234637,0.3744375,0,-0.06122717696629214,-13.510700416366303
search,titanic_lp,boundary,rev,0.0003,-,0.8028002106741573,0.8051675977653632,0.296125,0,,
search,titanic_lp,boundary,nrev,0.0003,u0.25,0.8038535814606742,0.8053421787709497,0.298171875,0,0.001053370786516846,1.571313637907004
search,titanic_lp,boundary,nrev,0.0003,u1,0.8033268960674158,0.8046438547486034,0.302890625,0,0.0005266853932584144,0.513279739178887
search,titanic_lp,boundary,nrev,0.0003,u2,0.8028002106741573,0.8056913407821229,0.31890625,0,-3.469446951953614e-18,-2.4266074347378547e-15
search,titanic_lp,boundary,nrev,0.0003,u5,0.668188202247191,0.6946578212290502,0.9901875,0,-0.1346120084269663,-18.31829229581787
search,titanic_lp,boundary,nrev,0.0003,b2_5,0.6593223314606742,0.6754539106145251,0.987078125,0,-0.14347787921348315,-24.397385236419474
search,titanic_lp,boundary,nrev,0.0003,gn1,0.8028002106741573,0.8046438547486034,0.303140625,0,-6.938893903907228e-18,-6.986911441142816e-15
search,titanic_lp,boundary,nrev,0.0003,gn5,0.6484375,0.6709148044692738,0.9961875,0,-0.1543627106741573,-20.389696158900634
